LocationLookupKey,LocationKeyStartPoint,LocationKeyEndPoint,MetersBetweenPoints,MetersBetweenPoints_norm,MinutesTravelBetweenPoints
0|0,0,0,0.0,0.47337111834309087,0
2396|0,2396,0,78211.94167456117,0.9708019326593629,39
3049|0,3049,0,7168.480512521739,0.5189629170174079,3
3201|0,3201,0,2394.6502019369705,0.48860118135455005,1
3219|0,3219,0,2734.9465812703143,0.49076547879374427,1
3236|0,3236,0,4540.667507215549,0.502249930034686,2
3411|0,3411,0,25757.173083592323,0.6371876827594144,12
3551|0,3551,0,10691.897183771596,0.5413719761256464,5
3602|0,3602,0,6145.323675033105,0.5124556020480011,3
0|2396,0,2396,78211.94167456117,0.9708019326593629,39
2396|2396,2396,2396,0.0,0.47337111834309087,0
3049|2396,3049,2396,72691.00504516272,0.9356885734388813,36
3201|2396,3201,2396,75817.29718046678,0.9555719059499914,37
3219|2396,3219,2396,76688.4259032132,0.9611123165401431,38
3236|2396,3236,2396,73822.26312318046,0.942883416258303,36
3411|2396,3411,2396,58302.204459999266,0.8441752745887611,29
3551|2396,3551,2396,79576.58509156335,0.9794811147847124,39
3602|2396,3602,2396,82802.80632172766,1.0,41
0|3049,0,3049,7168.480512521741,0.5189629170174079,3
2396|3049,2396,3049,72691.00504516272,0.9356885734388813,36
3049|3049,3049,3049,0.0,0.47337111834309087,0
3201|3049,3201,3049,5485.004847307739,0.5082559501131275,2
3219|3049,3219,3049,4631.163863143691,0.5028254901736899,2
3236|3049,3236,3049,3510.3834083223055,0.4956972854216413,1
3411|3049,3411,3049,18626.25226669462,0.5918347651252521,9
3551|3049,3551,3049,16341.720221243702,0.577305057623183,8
3602|3049,3602,3049,13300.104901049737,0.5579602727582773,6
0|3201,0,3201,2394.6502019369705,0.48860118135455005,1
2396|3201,2396,3201,75817.29718046678,0.9555719059499914,37
3049|3201,3049,3201,5485.004847307739,0.5082559501131275,2
3201|3201,3201,3201,0.0,0.47337111834309087,0
3219|3201,3219,3201,2404.760873783686,0.4886654855978959,1
3236|3201,3236,3201,2301.9276482470837,0.4880114625162253,1
3411|3201,3411,3201,23786.152291123886,0.6246519183116847,11
3551|3201,3551,3201,11092.07845223544,0.5439171436535718,5
3602|3201,3602,3201,8058.0540779821,0.5246206374829401,4
0|3219,0,3219,2734.9465812703143,0.49076547879374427,1
2396|3219,2396,3219,76688.42590321318,0.9611123165401428,38
3049|3219,3049,3219,4631.163863143691,0.5028254901736899,2
3201|3219,3201,3219,2404.760873783686,0.4886654855978959,1
3219|3219,3219,3219,0.0,0.47337111834309087,0
3236|3219,3236,3219,3054.811815199508,0.49279983339968053,1
3411|3219,3411,3219,23251.41318328419,0.6212509579958513,11
3551|3219,3551,3219,13107.543994273214,0.5567355783367798,6
3602|3219,3602,3219,8837.61959534841,0.5295787027324892,4
0|3236,0,3236,4540.667507215549,0.502249930034686,2
2396|3236,2396,3236,73822.26312318046,0.942883416258303,36
3049|3236,3049,3236,3510.3834083223055,0.4956972854216413,1
3201|3236,3201,3236,2301.9276482470837,0.4880114625162253,1
3219|3236,3219,3236,3054.811815199508,0.49279983339968053,1
3236|3236,3236,3236,0.0,0.47337111834309087,0
3411|3236,3411,3236,21501.08224028481,0.6101187890756372,10
3551|3236,3551,3236,12833.321371820659,0.5549915124119355,6
3602|3236,3602,3236,10359.001266829633,0.5392547458983745,5
0|3411,0,3411,25757.173083592323,0.6371876827594144,12
2396|3411,2396,3411,58302.204459999266,0.8441752745887611,29
3049|3411,3049,3411,18626.25226669462,0.5918347651252521,9
3201|3411,3201,3411,23786.152291123886,0.6246519183116847,11
3219|3411,3219,3411,23251.413183284192,0.6212509579958513,11
3236|3411,3236,3411,21501.08224028481,0.6101187890756372,10
3411|3411,3411,3411,0.0,0.47337111834309087,0
3551|3411,3551,3411,33235.60201628989,0.6847507647408974,16
3602|3411,3602,3411,31823.97069355844,0.6757727378137249,15
0|3551,0,3551,10691.897183771598,0.5413719761256464,5
2396|3551,2396,3551,79576.58509156336,0.9794811147847124,39
3049|3551,3049,3551,16341.720221243704,0.577305057623183,8
3201|3551,3201,3551,11092.07845223544,0.5439171436535718,5
3219|3551,3219,3551,13107.543994273216,0.5567355783367798,6
3236|3551,3236,3551,12833.321371820659,0.5549915124119355,6
3411|3551,3411,3551,33235.60201628989,0.6847507647408974,16
3551|3551,3551,3551,0.0,0.47337111834309087,0
3602|3551,3602,3551,7523.206387979276,0.5212189865805714,3
0|3602,0,3602,6145.323675033105,0.5124556020480011,3
2396|3602,2396,3602,82802.80632172766,1.0,41
3049|3602,3049,3602,13300.104901049737,0.5579602727582773,6
3201|3602,3201,3602,8058.0540779821,0.5246206374829401,4
3219|3602,3219,3602,8837.61959534841,0.5295787027324892,4
3236|3602,3236,3602,10359.001266829633,0.5392547458983745,5
3411|3602,3411,3602,31823.97069355844,0.6757727378137249,15
3551|3602,3551,3602,7523.206387979276,0.5212189865805714,3
3602|3602,3602,3602,0.0,0.47337111834309087,0
